User ID,Art Galleries,Dance Clubs,Juice Bars,Restaurants,Museums,Resorts,Parks,Beaches,Theatre,Religious Institutions,Average
User 1,0.93,1.8,2.29,0.62,0.8,2.42,3.19,2.79,1.82,2.42,1.908
User 2,1.02,2.2,2.66,0.64,1.42,3.18,3.21,2.63,1.86,2.32,2.114
User 3,1.22,0.8,0.54,0.53,0.24,1.54,3.18,2.8,1.31,2.5,1.466
User 4,0.45,1.8,0.29,0.57,0.46,1.52,3.18,2.96,1.57,2.86,1.566
User 5,0.51,1.2,1.18,0.57,1.54,2.02,3.18,2.78,1.18,2.54,1.67
User 6,0.99,1.28,0.72,0.27,0.74,1.26,3.17,2.89,1.66,3.66,1.664
User 7,0.9,1.36,0.26,0.32,0.86,1.58,3.17,2.66,1.22,3.22,1.555
User 8,0.74,1.4,0.22,0.41,0.82,1.5,3.17,2.81,1.54,2.88,1.549
User 9,1.12,1.76,1.04,0.64,0.82,2.14,3.18,2.79,1.41,2.54,1.744
User 10,0.7,1.36,0.22,0.26,1.5,1.54,3.17,2.82,2.24,3.12,1.693
User 11,1.47,1,0.7,0.75,1.66,2.76,3.18,2.89,1.66,2.62,1.869
User 12,0.96,2.96,0.29,0.38,0.88,2.08,3.17,2.93,1.66,3.42,1.873
User 13,0.74,1.44,2.75,0.45,0.98,1.74,3.2,2.87,1.38,2.34,1.789
User 14,0.58,1.64,2.27,0.45,1.26,1.72,3.19,2.91,2.3,2.74,1.906
User 15,0.96,1.68,2.29,0.51,1.2,2.84,3.2,2.82,2.02,2.46,1.998
User 16,1.25,2.52,1.76,0.5,1.46,2.08,3.19,2.74,1.41,2.32,1.923
User 17,0.86,1.04,1.76,0.34,0.06,1.1,3.18,2.73,1.15,2.98,1.52
User 18,0.61,1.96,2.49,0.66,1.34,1.78,3.2,3.04,1.15,2.42,1.865
User 19,0.67,1.36,1.36,0.38,0.82,3.38,3.18,2.86,1.79,2.8,1.86
User 20,0.8,1.04,2.1,0.58,1.18,1.98,3.19,2.93,1.22,2.48,1.75
User 21,0.86,1.44,1.12,0.41,1.2,2.18,3.18,2.7,1.06,2.94,1.709
User 22,0.96,1.44,0.14,0.42,1.06,2.08,3.17,2.74,1.15,3.22,1.638
User 23,0.93,1.16,0.29,0.41,1.02,1.36,3.16,2.74,1.34,3.66,1.607
User 24,0.54,1.44,0.3,0.41,1.02,1.46,3.17,2.71,1.73,3.04,1.582
User 25,1.22,0.96,1.15,0.54,1.1,2.02,3.18,2.77,1.92,2.46,1.732
User 26,0.61,2.84,2.8,0.48,0.56,1.52,3.19,2.54,1.6,2.54,1.868
User 27,0.77,1.68,2.24,0.75,1.28,2.64,3.19,2.57,1.34,2.38,1.884
User 28,0.99,1.28,1.22,0.59,0.94,1.9,3.18,2.79,1.22,2.4,1.651
User 29,0.58,1.2,0.18,0.38,0.54,0.76,3.17,2.69,1.63,2.94,1.407
User 30,0.64,1.16,3.12,0.45,1.84,3.16,3.2,2.75,1.54,2.46,2.032
User 31,0.74,1.28,2.14,0.5,0.94,2.26,3.2,2.78,1.5,2.34,1.768
User 32,0.7,2.24,2.32,0.63,0.72,2.12,3.19,2.65,1.28,2.42,1.827
User 33,0.64,2,1.6,0.41,2.08,2.22,3.19,2.8,1.76,2.72,1.942
User 34,1.06,1.12,0.21,0.58,0.98,2.5,3.18,2.9,1.92,2.74,1.719
User 35,0.96,1.16,0.45,0.29,0.98,1.42,3.18,2.94,2.02,3.02,1.642
User 36,0.88,0.96,1.18,0.43,0.74,1.52,3.18,3.01,1.63,2.94,1.647
User 37,0.7,1.28,1.15,0.32,0.4,1.1,3.18,2.78,1.76,2.9,1.557
User 38,1.02,1.36,0.91,0.5,0.72,1.22,3.18,2.91,1.92,3.2,1.694
User 39,0.7,1.52,2.37,0.62,0.86,1.68,3.2,2.86,1.6,2.58,1.799
User 40,1.38,1.08,0.18,0.62,0.14,1.46,3.18,2.88,1.66,2.42,1.5
